Subject,Condition,Speed,Target,Balance,n_samples,Comp1,Comp2,Comp3,Comp4,Comp5
BMH07,s1a0b0,1,0,0,1,143.67032412264206,9.664615739635648,-13.402901358846302,14.572181107119306,0.04120339737140599
BMH07,s1a0b1,1,0,1,1,148.78705440285867,-19.612987844853688,13.319563160362273,-22.35243427432219,-10.919207168671758
BMH07,s1a0b2,1,0,2,1,114.03487976653577,8.699962106194342,3.714966374322199,8.33129596908858,10.828015718661547
BMH07,s1a1b0,1,1,0,1,-44.387299493333316,18.65356832528063,-28.19435365421672,3.7461153163133285,0.7263046286017542
BMH07,s1a1b1,1,1,1,1,-43.87189022727449,37.276068670945406,-21.702687105663284,-0.3706576865701995,-4.013779703581265
BMH07,s1a1b2,1,1,2,1,-36.92773325929485,6.183686466737781,52.22316864229008,-14.283975859866432,-1.8763351581431005
BMH07,s1a2b0,1,2,0,1,-91.53058973589226,-9.406288466074791,-36.81542311891623,5.87077246944362,20.23480021869245
BMH07,s1a2b1,1,2,1,1,-42.88105911157867,18.21204738935941,-1.2502207935512248,-11.360876170676578,-9.404017922978616
BMH07,s1a2b2,1,2,2,1,-69.88769178715415,-17.0284931774947,70.77499572748958,-12.935494153299771,-2.70995086038916
BMH07,s2a0b0,2,0,0,1,64.00059838353803,82.82298252865219,-2.855097510101245,23.4562897680651,-4.51672639852515
BMH07,s2a0b1,2,0,1,1,94.68642108016209,63.772703989987654,25.491213451276096,20.775126070553572,-6.151366196286139
BMH07,s2a0b2,2,0,2,1,120.42127084864582,30.924379843177718,42.73105439730319,45.97447665562335,8.602000250472637
BMH07,s2a1b0,2,1,0,1,-42.5691127051773,36.24133564945881,-22.835989343320602,-14.52007489152442,-23.03356485936091
BMH07,s2a1b1,2,1,1,1,-30.54460054628554,47.798198365794946,9.734916844695343,-32.84794609316712,-25.689026242898038
BMH07,s2a1b2,2,1,2,1,-55.33141687936694,0.07731140702016871,42.690572583025954,-15.500029771184808,45.883839877569834
